n,city,country,continent,anchor,lat,lon,terrain_m,poi_alt_m
251,Oberhausen,Germany,Europe,Oberhausen City Center,51.4667,6.85,38.0,65.0
252,Offenbach,Germany,Europe,Offenbach City Center,50.1,8.7667,109.0,136.0
253,Paderborn,Germany,Europe,Paderborn City Center,51.7167,8.7667,131.0,158.0
254,Recklinghausen,Germany,Europe,Recklinghausen City Center,51.6167,7.2,76.0,103.0
255,Remscheid,Germany,Europe,Remscheid City Center,51.1833,7.2,282.0,309.0
256,Salzgitter,Germany,Europe,Salzgitter City Center,52.0833,10.3333,226.0,253.0
257,Siegen,Germany,Europe,Siegen City Center,50.8667,8.0333,254.0,281.0
258,Solingen,Germany,Europe,Solingen City Center,51.1833,7.0833,232.0,259.0
259,Witten,Germany,Europe,Witten City Center,51.4333,7.3333,94.0,121.0
260,Wuppertal,Germany,Europe,Wuppertal City Center,51.2667,7.1833,153.0,180.0
261,Amstetten,Austria,Europe,Amstetten City Center,48.1167,14.8667,268.0,295.0
262,Baden,Austria,Europe,Baden City Center,48.0167,16.2333,328.0,355.0
263,Braunau,Austria,Europe,Braunau City Center,48.2667,13.0333,338.0,365.0
264,Bregenz,Austria,Europe,Bregenz City Center,47.5,9.7667,706.0,733.0
265,Bruck an der Mur,Austria,Europe,Bruck an der Mur City Center,47.4167,15.2833,571.0,598.0
266,Dornbirn,Austria,Europe,Dornbirn City Center,47.4167,9.7333,427.0,454.0
267,Feldkirch,Austria,Europe,Feldkirch City Center,47.2333,9.6,474.0,501.0
268,Hallein,Austria,Europe,Hallein City Center,47.6833,13.1,448.0,475.0
269,Kapfenberg,Austria,Europe,Kapfenberg City Center,47.4333,15.3,752.0,779.0
270,Klosterneuburg,Austria,Europe,Klosterneuburg City Center,48.3,16.3167,259.0,286.0
271,Krems,Austria,Europe,Krems City Center,48.4167,15.6,212.0,239.0
272,Leoben,Austria,Europe,Leoben City Center,47.3833,15.1,538.0,565.0
273,Mödling,Austria,Europe,Mödling City Center,48.0833,16.4667,181.0,208.0
274,Steyr,Austria,Europe,Steyr City Center,48.0667,14.4167,313.0,340.0
275,Traun,Austria,Europe,Traun City Center,48.2167,14.2333,271.0,298.0
276,Wiener Neustadt,Austria,Europe,Wiener Neustadt City Center,47.8,16.25,269.0,296.0
277,Wolfsberg,Austria,Europe,Wolfsberg City Center,46.8333,14.8333,455.0,482.0
278,Biel/Bienne,Switzerland,Europe,Biel/Bienne City Center,47.1371,7.2461,438.0,465.0
279,Chur,Switzerland,Europe,Chur City Center,46.8333,9.5833,755.0,782.0
280,Köniz,Switzerland,Europe,Köniz City Center,46.9333,7.4167,564.0,591.0
281,La Chaux-de- Fonds,Switzerland,Europe,La Chaux-de- Fonds City Center,47.1,6.8333,1009.0,1036.0
282,Schaffhausen,Switzerland,Europe,Schaffhausen City Center,47.6667,8.6667,540.0,567.0
283,Thun,Switzerland,Europe,Thun City Center,46.7667,7.6333,603.0,630.0
284,Borås,Sweden,Europe,Borås City Center,57.7333,12.9167,218.0,245.0
285,Helsingborg,Sweden,Europe,Helsingborg City Center,56.0833,12.75,51.0,78.0
286,Jönköping,Sweden,Europe,Jönköping City Center,57.75,14.1667,105.0,132.0
287,Linköping,Sweden,Europe,Linköping City Center,58.4167,15.5833,86.0,113.0
288,Norrköping,Sweden,Europe,Norrköping City Center,58.5833,16.1667,38.0,65.0
289,Drammen,Norway,Europe,Drammen City Center,59.75,10.25,4.0,31.0
290,Kristiansand,Norway,Europe,Kristiansand City Center,58.1333,8.0167,4.0,31.0
291,Espoo,Finland,Europe,Espoo City Center,60.1667,24.7,16.0,43.0
292,Kuopio,Finland,Europe,Kuopio City Center,62.9,27.6667,104.0,131.0
293,Lahti,Finland,Europe,Lahti City Center,61.0,25.6667,144.0,171.0
294,Oulu,Finland,Europe,Oulu City Center,65.0,25.4333,8.0,35.0
295,Pori,Finland,Europe,Pori City Center,61.4667,21.75,10.0,37.0
296,Tampere,Finland,Europe,Tampere City Center,61.5333,23.75,92.0,119.0
297,Vantaa,Finland,Europe,Vantaa City Center,60.3,24.95,50.0,77.0
298,Helsingør,Denmark,Europe,Helsingør City Center,56.05,12.6333,-18.0,9.0
299,Esbjerg,Denmark,Europe,Esbjerg City Center,55.4667,8.4667,7.0,34.0
300,Horsens,Denmark,Europe,Horsens City Center,55.8607,9.8503,3.0,30.0
301,Kolding,Denmark,Europe,Kolding City Center,55.4833,9.5,21.0,48.0
302,Randers,Denmark,Europe,Randers City Center,56.4667,10.05,26.0,53.0
303,Roskilde,Denmark,Europe,Roskilde City Center,55.65,12.1167,37.0,64.0
304,Vejle,Denmark,Europe,Vejle City Center,55.7167,9.55,51.0,78.0
305,Cork,Ireland,Europe,Cork City Center,51.9,-8.4667,6.0,33.0
306,Galway,Ireland,Europe,Galway City Center,53.2667,-9.05,5.0,32.0
307,Limerick,Ireland,Europe,Limerick City Center,52.6667,-8.6333,10.0,37.0
308,Waterford,Ireland,Europe,Waterford City Center,52.25,-7.1,23.0,50.0
309,Differdange,Luxembourg,Europe,Differdange City Center,49.5333,5.8833,329.0,356.0
310,Dudelange,Luxembourg,Europe,Dudelange City Center,49.4667,6.0833,313.0,340.0
311,Esch-sur-Alzette,Luxembourg,Europe,Esch-sur-Alzette City Center,49.5333,6.0,296.0,323.0
312,Akureyri,Iceland,Europe,Akureyri City Center,65.6833,-18.0667,-5.0,22.0
313,Reykjavik,Iceland,Europe,Reykjavik City Center,64.15,-21.95,7.0,34.0
314,Durrës,Albania,Europe,Durrës City Center,41.3,19.4667,-2.0,25.0
315,Shkodër,Albania,Europe,Shkodër City Center,42.05,19.0167,-70.0,-43.0
316,Tirana,Albania,Europe,Tirana City Center,41.3333,19.8333,129.0,156.0
317,Sarajevo,Bosnia and Herzegovina,Europe,Sarajevo City Center,43.8333,18.4167,747.0,774.0
318,Skopje,North Macedonia,Europe,Skopje City Center,42.0,21.4833,242.0,269.0
319,Limassol,Cyprus,Europe,Limassol City Center,34.6667,33.05,-16.0,11.0
320,Nicosia,Cyprus,Europe,Nicosia City Center,35.1833,33.3833,128.0,155.0
321,Brăila,Romania,Europe,Brăila City Center,45.2833,27.9667,18.0,45.0
322,Craiova,Romania,Europe,Craiova City Center,44.3,23.7833,73.0,100.0
323,Galați,Romania,Europe,Galați City Center,45.45,28.0333,61.0,88.0
324,Iași,Romania,Europe,Iași City Center,47.15,27.6333,37.0,64.0
325,Cluj-Napoca,Romania,Europe,Cluj-Napoca City Center,46.7833,23.6167,326.0,353.0
326,Constanța,Romania,Europe,Constanța City Center,44.2,28.6667,-6.0,21.0
327,Brașov,Romania,Europe,Brașov City Center,45.65,25.5833,580.0,607.0
328,Timișoara,Romania,Europe,Timișoara City Center,45.75,21.25,85.0,112.0
329,Debrecen,Hungary,Europe,Debrecen City Center,47.5,21.6167,108.0,135.0
330,Győr,Hungary,Europe,Győr City Center,47.6833,17.6667,112.0,139.0
331,Miskolc,Hungary,Europe,Miskolc City Center,48.1167,20.7833,181.0,208.0
332,Pécs,Hungary,Europe,Pécs City Center,46.0667,18.25,130.0,157.0
333,Szeged,Hungary,Europe,Szeged City Center,46.25,20.15,86.0,113.0
334,Burgas,Bulgaria,Europe,Burgas City Center,42.5,27.4833,16.0,43.0
335,Plovdiv,Bulgaria,Europe,Plovdiv City Center,42.1333,24.75,165.0,192.0
336,Ruse,Bulgaria,Europe,Ruse City Center,43.8333,27.9833,197.0,224.0
