n,city,country,continent,anchor,lat,lon,terrain_m,poi_alt_m,orig_lat,orig_lon,snap_building,snap_dist_m,snap_area_m2,snap_landmark,snap_osm,snap_status,anchor_source
251,Oberhausen,Germany,Europe,Herz-Jesu-Kirche,51.469656,6.850203,38.0,65.0,51.4667,6.85,Herz-Jesu-Kirche (church),329,1609,yes,way/154854316,snapped,pdf
252,Offenbach,Germany,Europe,Evangelische Mirjamgemeinde - Lutherkirche,50.098605,8.766629,113.0,140.0,50.1,8.7667,Evangelische Mirjamgemeinde - Lutherkirche (church),155,751,yes,way/59426603,snapped,pdf
253,Paderborn,Germany,Europe,Paderborn City Center,51.714699,8.767006,138.0,165.0,51.7167,8.7667,"unnamed civic, 643 m²",224,643,yes,way/111312523,snapped,pdf
254,Recklinghausen,Germany,Europe,St. Peter,51.615265,7.197972,84.0,111.0,51.6167,7.2,St. Peter (church),213,1201,yes,way/82309615,snapped,pdf
255,Remscheid,Germany,Europe,Remscheid City Center,51.182429,7.201205,286.0,313.0,51.1833,7.2,"unnamed government, 609 m²",128,609,yes,way/275188339,snapped,pdf
256,Salzgitter,Germany,Europe,BraWo Carree Salzgitter,52.151606,10.329556,91.0,118.0,52.1540,10.3320,BraWo Carree Salzgitter (commercial),314,19100,,way/201515204,snapped,handpicked
257,Siegen,Germany,Europe,Siegen City Center,50.8667,8.0333,254.0,281.0,50.8667,8.0333,"unnamed building, 612 m²",0,612,,way/148641248,kept,pdf
258,Solingen,Germany,Europe,Solingen City Center,51.181664,7.085319,229.0,256.0,51.1833,7.0833,"unnamed industrial, 5,598 m²",230,5598,,way/310052807,snapped,pdf
259,Witten,Germany,Europe,Saalbau Witten,51.433640,7.334197,97.0,124.0,51.4333,7.3333,Saalbau Witten (civic),73,4774,yes,way/74481100,snapped,pdf
260,Wuppertal,Germany,Europe,Wuppertal City Center,51.267298,7.186329,153.0,180.0,51.2667,7.1833,"unnamed school, 5,645 m²",221,5645,,way/232965434,snapped,pdf
261,Amstetten,Austria,Europe,Amstetten City Center,48.115239,14.869359,268.0,295.0,48.1167,14.8667,"unnamed building, 4,071 m²",256,4071,,way/351401148,snapped,pdf
262,Baden,Austria,Europe,Rudolfshof,48.017885,16.229483,367.0,394.0,48.0167,16.2333,Rudolfshof (residential),313,323,,way/222232059,snapped,pdf
263,Braunau,Austria,Europe,Braunau City Center,48.267049,13.031047,346.0,373.0,48.2667,13.0333,"unnamed building, 1,030 m²",171,1030,,way/242574905,snapped,pdf
264,Bregenz,Austria,Europe,Bregenz City Center,47.496954,9.764418,681.0,708.0,47.5,9.7667,"unnamed service, 603 m²",380,603,,way/119023240,snapped,pdf
265,Bruck an der Mur,Austria,Europe,Bruck an der Mur City Center,47.416942,15.278123,492.0,519.0,47.4167,15.2833,"unnamed industrial, 3,206 m²",391,3206,,way/333532350,snapped,pdf
266,Dornbirn,Austria,Europe,Dornbirn City Center,47.415111,9.733238,427.0,454.0,47.4167,9.7333,"unnamed industrial, 4,936 m²",177,4936,,way/163627041,snapped,pdf
267,Feldkirch,Austria,Europe,Montforthaus,47.235962,9.597766,462.0,489.0,47.2333,9.6,Montforthaus (community centre),341,2563,yes,way/318382633,snapped,pdf
268,Hallein,Austria,Europe,Bahnhof Hallein,47.685077,13.099128,443.0,470.0,47.6833,13.1,Bahnhof Hallein (train station),208,979,yes,way/91241450,snapped,pdf
269,Kapfenberg,Austria,Europe,Kapfenberg City Center,47.435540,15.296887,645.0,672.0,47.4333,15.3,"unnamed house, 441 m²",342,441,,way/377848587,snapped,pdf
270,Klosterneuburg,Austria,Europe,Kerbl am Weinberg,48.300281,16.320214,221.0,248.0,48.3,16.3167,Kerbl am Weinberg (restaurant),262,978,,way/543120379,snapped,pdf
271,Krems,Austria,Europe,Krems City Center,48.418432,15.600437,207.0,234.0,48.4167,15.6,"unnamed residential, 1,147 m²",196,1147,,way/709684455,snapped,pdf
272,Leoben,Austria,Europe,LCS,47.381983,15.095492,542.0,569.0,47.3833,15.1,LCS (building),370,18739,,way/90119079,snapped,pdf
273,Mödling,Austria,Europe,Mödling City Center,48.083978,16.462822,177.0,204.0,48.0833,16.4667,"unnamed farm auxiliary, 932 m²",298,932,,way/556344417,snapped,pdf
274,Steyr,Austria,Europe,Steyr City Center,48.066697,14.416791,313.0,340.0,48.0667,14.4167,"unnamed building, 3,825 m²",7,3825,,way/1099784460,snapped,pdf
275,Traun,Austria,Europe,Spinnerei,48.219262,14.235966,272.0,299.0,48.2167,14.2333,Spinnerei (community centre),347,1905,yes,way/493996804,snapped,pdf
276,Wiener Neustadt,Austria,Europe,Kleinwasserkraftwerk Akademie,47.799238,16.246286,272.0,299.0,47.8,16.25,Kleinwasserkraftwerk Akademie (industrial),290,669,,way/448827134,snapped,pdf
277,Wolfsberg,Austria,Europe,Wolfsberg City Center,46.833774,14.834397,457.0,484.0,46.8333,14.8333,"unnamed building, 1,260 m²",99,1260,,way/243493330,snapped,pdf
278,Biel/Bienne,Switzerland,Europe,Biel/Bienne City Center,47.1371,7.2461,438.0,465.0,47.1371,7.2461,"unnamed apartments, 407 m²",0,407,,way/926274065,kept,pdf
279,Chur,Switzerland,Europe,Rathaus,46.849017,9.532563,605.0,632.0,46.8497,9.5313,Rathaus (government),123,902,yes,way/316092000,snapped,handpicked
280,Köniz,Switzerland,Europe,VIDMARhallen,46.934976,7.417540,559.0,586.0,46.9333,7.4167,VIDMARhallen (building),197,11070,,way/284270145,snapped,pdf
281,La Chaux-de- Fonds,Switzerland,Europe,La Chaux-de- Fonds City Center,47.1,6.8333,1009.0,1036.0,47.1,6.8333,"unnamed industrial, 656 m²",0,656,,way/49190807,kept,pdf
282,Schaffhausen,Switzerland,Europe,St. Johann,47.696447,8.636020,400.0,427.0,47.6963,8.6345,St. Johann (church),115,1637,yes,way/159312646,snapped,handpicked
283,Thun,Switzerland,Europe,Thun City Center,46.769879,7.632149,582.0,609.0,46.7667,7.6333,"unnamed industrial, 2,236 m²",365,2236,,way/465597687,snapped,pdf
284,Borås,Sweden,Europe,Borås City Center,57.730595,12.920426,144.0,171.0,57.7333,12.9167,"unnamed office, 3,776 m²",374,3776,,way/85127497,snapped,pdf
285,Helsingborg,Sweden,Europe,Helsingborg City Center,56.080986,12.749410,49.0,76.0,56.0833,12.75,"unnamed building, 8,247 m²",260,8247,,way/1191570224,snapped,pdf
286,Jönköping,Sweden,Europe,Jönköping City Center,57.75,14.1667,105.0,132.0,57.75,14.1667,DB Schenker (warehouse),0,27802,,way/103722965,kept,pdf
287,Linköping,Sweden,Europe,Linköping City Center,58.414342,15.588020,68.0,95.0,58.4167,15.5833,"unnamed apartments, 471 m²",380,471,,way/205311334,snapped,pdf
288,Norrköping,Sweden,Europe,Victoriaskolan,58.584077,16.169847,38.0,65.0,58.5833,16.1667,Victoriaskolan (school),202,3197,,way/101272756,snapped,pdf
289,Drammen,Norway,Europe,Drammen City Center,59.750132,10.249251,4.0,31.0,59.75,10.25,"unnamed commercial, 2,411 m²",44,2411,,way/141546731,snapped,pdf
290,Kristiansand,Norway,Europe,Kristiansand domkirke,58.146124,7.994610,13.0,40.0,58.1460,7.9948,Kristiansand domkirke (cathedral),18,1396,yes,way/173829550,snapped,handpicked
291,Espoo,Finland,Europe,Retail Park Finno,60.164888,24.705225,16.0,43.0,60.1667,24.7,Retail Park Finno (retail),353,7062,,way/80932003,snapped,pdf
292,Kuopio,Finland,Europe,RIISA - Suomen ortodoksinen kirkkomuseo,62.898795,27.666365,107.0,134.0,62.9,27.6667,RIISA - Suomen ortodoksinen kirkkomuseo (commercial),135,1987,yes,way/87819398,snapped,pdf
293,Lahti,Finland,Europe,Lahti City Center,60.998615,25.667157,143.0,170.0,61.0,25.6667,"unnamed school, 5,563 m²",156,5563,,way/46652422,snapped,pdf
294,Oulu,Finland,Europe,Kartonkikone BM7,64.999795,25.428571,8.0,35.0,65.0,25.4333,Kartonkikone BM7 (industrial),224,28157,,way/127246195,snapped,pdf
295,Pori,Finland,Europe,Pori City Center,61.466566,21.747886,9.0,36.0,61.4667,21.75,"unnamed industrial, 2,793 m²",113,2793,,way/473919680,snapped,pdf
