n,city,country,status,building,landmark,moved_m,area_m2,old_lat,old_lon,new_lat,new_lon,osm,map
251,Oberhausen,Germany,snapped,Herz-Jesu-Kirche (church),yes,329,1609,51.4667,6.85,51.469656,6.850203,https://www.openstreetmap.org/way/154854316,"https://www.google.com/maps/@51.469656,6.850203,200m/data=!3m1!1e3"
252,Offenbach,Germany,snapped,Evangelische Mirjamgemeinde - Lutherkirche (church),yes,155,751,50.1,8.7667,50.098605,8.766629,https://www.openstreetmap.org/way/59426603,"https://www.google.com/maps/@50.098605,8.766629,200m/data=!3m1!1e3"
253,Paderborn,Germany,snapped,"unnamed civic, 643 m²",yes,224,643,51.7167,8.7667,51.714699,8.767006,https://www.openstreetmap.org/way/111312523,"https://www.google.com/maps/@51.714699,8.767006,200m/data=!3m1!1e3"
254,Recklinghausen,Germany,snapped,St. Peter (church),yes,213,1201,51.6167,7.2,51.615265,7.197972,https://www.openstreetmap.org/way/82309615,"https://www.google.com/maps/@51.615265,7.197972,200m/data=!3m1!1e3"
255,Remscheid,Germany,snapped,"unnamed government, 609 m²",yes,128,609,51.1833,7.2,51.182429,7.201205,https://www.openstreetmap.org/way/275188339,"https://www.google.com/maps/@51.182429,7.201205,200m/data=!3m1!1e3"
256,Salzgitter,Germany,snapped,BraWo Carree Salzgitter (commercial),,314,19100,52.1540,10.3320,52.151606,10.329556,https://www.openstreetmap.org/way/201515204,"https://www.google.com/maps/@52.151606,10.329556,200m/data=!3m1!1e3"
257,Siegen,Germany,kept,"unnamed building, 612 m²",,0,612,50.8667,8.0333,50.8667,8.0333,https://www.openstreetmap.org/way/148641248,"https://www.google.com/maps/@50.8667,8.0333,200m/data=!3m1!1e3"
258,Solingen,Germany,snapped,"unnamed industrial, 5,598 m²",,230,5598,51.1833,7.0833,51.181664,7.085319,https://www.openstreetmap.org/way/310052807,"https://www.google.com/maps/@51.181664,7.085319,200m/data=!3m1!1e3"
259,Witten,Germany,snapped,Saalbau Witten (civic),yes,73,4774,51.4333,7.3333,51.433640,7.334197,https://www.openstreetmap.org/way/74481100,"https://www.google.com/maps/@51.433640,7.334197,200m/data=!3m1!1e3"
260,Wuppertal,Germany,snapped,"unnamed school, 5,645 m²",,221,5645,51.2667,7.1833,51.267298,7.186329,https://www.openstreetmap.org/way/232965434,"https://www.google.com/maps/@51.267298,7.186329,200m/data=!3m1!1e3"
