n,city,country,continent,anchor,lat,lon,terrain_m,poi_alt_m,gnd_radius_m,gnd_height_m
351,Koblenz,Germany,Europe,Altstadt,50.3569,7.5889,72.0,99.0,,
352,Trier,Germany,Europe,Innenstadt,49.7499,6.6371,140.0,167.0,,
353,Saarbrücken,Germany,Europe,Innenstadt,49.2402,6.9969,195.0,222.0,,
354,Osnabrück,Germany,Europe,Innenstadt,52.2799,8.0472,66.0,93.0,,
355,Oldenburg,Germany,Europe,Innenstadt,53.1435,8.2146,5.0,32.0,,
356,Granada,Spain,Europe,Centro Granada,37.1773,-3.5986,698.0,725.0,,
357,Valladolid,Spain,Europe,Centro Valladolid,41.6523,-4.7245,701.0,728.0,,
358,Vigo,Spain,Europe,Centro Vigo,42.2406,-8.7207,11.0,38.0,,
359,A Coruña,Spain,Europe,Centro A Coruña,43.3623,-8.4115,55.0,82.0,,
360,Gijón,Spain,Europe,Centro Gijón,43.5322,-5.6611,17.0,44.0,,
361,Oviedo,Spain,Europe,Centro Oviedo,43.3619,-5.8494,236.0,263.0,,
362,Santander,Spain,Europe,Centro Santander,43.4623,-3.8099,12.0,39.0,,
363,Pamplona,Spain,Europe,Casco Antiguo,42.8125,-1.6458,465.0,492.0,,
364,San Sebastián,Spain,Europe,Centro,43.3183,-1.9812,18.0,45.0,,
365,Vitoria-Gasteiz,Spain,Europe,Centro,42.8467,-2.6727,529.0,556.0,,
366,Salamanca,Spain,Europe,Centro Histórico,40.9701,-5.6635,816.0,843.0,,
367,Toledo,Spain,Europe,Casco Histórico,39.8628,-4.0273,472.0,499.0,,
368,Burgos,Spain,Europe,Centro Histórico,42.3439,-3.6969,861.0,888.0,,
369,León,Spain,Europe,Centro León,42.5987,-5.5671,849.0,876.0,,
370,Almería,Spain,Europe,Centro Almería,36.834,-2.4637,7.0,34.0,,
371,Cádiz,Spain,Europe,Centro Cádiz,36.5271,-6.2886,20.0,47.0,,
372,Jerez de la Frontera,Spain,Europe,Centro,36.685,-6.1261,43.0,70.0,,
373,Huelva,Spain,Europe,Centro Huelva,37.2614,-6.9447,34.0,61.0,,
374,Badajoz,Spain,Europe,Centro Badajoz,38.8794,-6.9707,192.0,219.0,,
375,Cáceres,Spain,Europe,Centro Histórico,39.4753,-6.3724,444.0,471.0,,
376,Tarragona,Spain,Europe,Centre Tarragona,41.1189,1.2445,22.0,49.0,,
377,Girona,Spain,Europe,Centre Girona,41.9794,2.8214,83.0,110.0,,
378,Lleida,Spain,Europe,Centre Lleida,41.6176,0.62,186.0,213.0,,
379,Castellón de la Plana,Spain,Europe,Centro,39.9864,-0.0513,47.0,74.0,,
380,Logroño,Spain,Europe,Centro Logroño,42.4627,-2.4449,396.0,423.0,,
381,Venice,Italy,Europe,Venezia Centro,45.4408,12.3155,2.0,29.0,,
382,Palermo,Italy,Europe,Palermo Centro,38.1157,13.3615,28.0,55.0,,
383,Catania,Italy,Europe,Catania Centro,37.5079,15.083,46.0,73.0,,
384,Bari,Italy,Europe,Bari Centro,41.1171,16.8719,9.0,36.0,,
385,Trieste,Italy,Europe,Trieste Centro,45.6495,13.7768,14.0,41.0,,
386,Parma,Italy,Europe,Parma Centro,44.8015,10.3279,62.0,89.0,,
387,Modena,Italy,Europe,Modena Centro,44.6471,10.9252,46.0,73.0,,
388,Reggio Emilia,Italy,Europe,Centro,44.6989,10.6297,67.0,94.0,,
389,Perugia,Italy,Europe,Centro Storico,43.1107,12.3908,437.0,464.0,,
390,Ravenna,Italy,Europe,Ravenna Centro,44.4184,12.2035,4.0,31.0,,
391,Rimini,Italy,Europe,Rimini Centro,44.0678,12.5695,3.0,30.0,,
392,Ferrara,Italy,Europe,Ferrara Centro,44.8381,11.6198,10.0,37.0,,
393,Livorno,Italy,Europe,Livorno Centro,43.5485,10.3106,16.0,43.0,,
394,Pisa,Italy,Europe,Pisa Centro,43.7228,10.4017,5.0,32.0,,
395,Lucca,Italy,Europe,Centro Storico,43.8429,10.5027,25.0,52.0,,
396,Siena,Italy,Europe,Centro Storico,43.3188,11.3308,339.0,366.0,,
397,Arezzo,Italy,Europe,Arezzo Centro,43.4633,11.8796,267.0,294.0,,
398,Bergamo,Italy,Europe,Bergamo Centro,45.6983,9.6773,261.0,288.0,,
399,Brescia,Italy,Europe,Brescia Centro,45.5416,10.2118,151.0,178.0,,
400,Monza,Italy,Europe,Monza Centro,45.5845,9.2744,172.0,199.0,,
401,Como,Italy,Europe,Como Centro,45.8081,9.0852,215.0,242.0,,
402,Trento,Italy,Europe,Trento Centro,46.0748,11.1217,196.0,223.0,,
403,Bolzano,Italy,Europe,Bolzano Centro,46.4983,11.3548,270.0,297.0,,
404,Vicenza,Italy,Europe,Vicenza Centro,45.5455,11.5354,34.0,61.0,,
405,Lecce,Italy,Europe,Lecce Centro,40.3515,18.175,49.0,76.0,,
406,Groningen,Netherlands,Europe,Groningen Centrum,53.2194,6.5665,16.0,43.0,,
407,Maastricht,Netherlands,Europe,Maastricht Centrum,50.8514,5.691,51.0,78.0,,
408,Tilburg,Netherlands,Europe,Tilburg Centrum,51.5555,5.0913,16.0,43.0,,
