n,city,country,continent,anchor,lat,lon,terrain_m,poi_alt_m,gnd_radius_m,gnd_height_m,orig_lat,orig_lon,snap_building,snap_dist_m,snap_area_m2,snap_landmark,snap_osm,snap_status
351,Koblenz,Germany,Europe,Löhr-Center,50.358753,7.590978,82.0,109.0,,,50.3569,7.5889,Löhr-Center (retail),254,18364,yes,way/24887271,snapped
352,Trier,Germany,Europe,Europahalle,49.751529,6.636419,140.0,167.0,,,49.7499,6.6371,Europahalle (community centre),188,3187,yes,way/72858754,snapped
353,Saarbrücken,Germany,Europe,Altes Stadtbad St. Johann,49.239433,6.995881,198.0,225.0,,,49.2402,6.9969,Altes Stadtbad St. Johann (sports centre),113,2546,yes,way/123435249,snapped
354,Osnabrück,Germany,Europe,Innenstadt,52.277929,8.046136,63.0,90.0,,,52.2799,8.0472,"unnamed school, 5,071 m²",231,5071,yes,way/90860287,snapped
355,Oldenburg,Germany,Europe,CCO,53.144313,8.213644,9.0,36.0,,,53.1435,8.2146,CCO (building),111,5340,,way/34569971,snapped
356,Granada,Spain,Europe,Catedral de Granada,37.176508,-3.599145,696.0,723.0,,,37.1773,-3.5986,Catedral de Granada (cathedral),101,8382,yes,way/124069145,snapped
357,Valladolid,Spain,Europe,Catedral de Nuestra Señora de la Asunción,41.652663,-4.723406,710.0,737.0,,,41.6523,-4.7245,Catedral de Nuestra Señora de la Asunción (cathedral),100,3791,yes,way/60418554,snapped
358,Vigo,Spain,Europe,Sede da Xunta de Galicia en Vigo,42.240822,-8.719992,11.0,38.0,,,42.2406,-8.7207,Sede da Xunta de Galicia en Vigo (public),63,2790,yes,way/37208124,snapped
359,A Coruña,Spain,Europe,Pazo da Ópera,43.363174,-8.410975,40.0,67.0,,,43.3623,-8.4115,Pazo da Ópera (public),106,4091,yes,way/793324130,snapped
360,Gijón,Spain,Europe,C.C. Los Fresnos,43.532829,-5.661659,24.0,51.0,,,43.5322,-5.6611,C.C. Los Fresnos (retail),83,6176,,way/86032465,snapped
361,Oviedo,Spain,Europe,Teatro Campoamor,43.363031,-5.847806,234.0,261.0,,,43.3619,-5.8494,Teatro Campoamor (theatre),180,1694,yes,way/11128109,snapped
362,Santander,Spain,Europe,Centro Santander,43.4623,-3.8099,12.0,39.0,,,43.4623,-3.8099,Ayuntamiento de Santander (civic),0,2235,yes,way/707208682,kept
363,Pamplona,Spain,Europe,Baluarte,42.813696,-1.647663,443.0,470.0,,,42.8125,-1.6458,Baluarte (civic),202,7722,yes,way/28499232,snapped
364,San Sebastián,Spain,Europe,Artzain Onaren katedrala,43.316679,-1.981546,15.0,42.0,,,43.3183,-1.9812,Artzain Onaren katedrala (cathedral),183,2818,yes,way/28211382,snapped
365,Vitoria-Gasteiz,Spain,Europe,Maria Sortzez Garbiaren katedrala,42.845394,-2.677107,523.0,550.0,,,42.8467,-2.6727,Maria Sortzez Garbiaren katedrala (cathedral),388,5581,yes,way/23726184,snapped
366,Salamanca,Spain,Europe,Mercado de San Juan,40.971099,-5.661083,817.0,844.0,,,40.9701,-5.6635,Mercado de San Juan (retail),232,1380,yes,way/48581888,snapped
367,Toledo,Spain,Europe,Nuncio Nuevo,39.860130,-4.029719,513.0,540.0,,,39.8628,-4.0273,Nuncio Nuevo (government),362,3562,yes,way/104424867,snapped
368,Burgos,Spain,Europe,Iglesia de San Lesmes,42.343155,-3.696174,864.0,891.0,,,42.3439,-3.6969,Iglesia de San Lesmes (church),102,1592,yes,way/86163390,snapped
369,León,Spain,Europe,Catedral de León,42.599479,-5.566626,843.0,870.0,,,42.5987,-5.5671,Catedral de León (cathedral),95,3569,yes,way/46344508,snapped
370,Almería,Spain,Europe,Palacio de Justicia,36.834800,-2.463544,9.0,36.0,,,36.834,-2.4637,Palacio de Justicia (public),90,1281,yes,way/108273588,snapped
371,Cádiz,Spain,Europe,Centro Cádiz,36.5271,-6.2886,20.0,47.0,,,36.5271,-6.2886,Palacio de Justicia Audiencia Provincial de Cádiz (public),0,2318,yes,way/162533714,kept
372,Jerez de la Frontera,Spain,Europe,Centro,36.683590,-6.125352,48.0,75.0,,,36.685,-6.1261,"unnamed industrial, 52,552 m²",171,52552,,way/321543943,snapped
373,Huelva,Spain,Europe,Centro Huelva,37.259462,-6.943609,41.0,68.0,,,37.2614,-6.9447,"unnamed building, 3,712 m²",236,3712,,way/803818318,snapped
374,Badajoz,Spain,Europe,Ministerio de Hacienda y Economía,38.877237,-6.972856,186.0,213.0,,,38.8794,-6.9707,Ministerio de Hacienda y Economía (public),305,1746,yes,way/569414853,snapped
375,Cáceres,Spain,Europe,Colegio de la Compañía de Jesús,39.473398,-6.370065,464.0,491.0,,,39.4753,-6.3724,Colegio de la Compañía de Jesús (building),292,1899,yes,way/731871780,snapped
376,Tarragona,Spain,Europe,Viding Sports Club,41.120887,1.243835,31.0,58.0,,,41.1189,1.2445,Viding Sports Club (building),228,7828,,way/556730114,snapped
377,Girona,Spain,Europe,Mercat municipal d'Abastaments,41.979584,2.822845,77.0,104.0,,,41.9794,2.8214,Mercat municipal d'Abastaments (public),121,2153,yes,way/583621959,snapped
378,Lleida,Spain,Europe,Santuari de Santa Teresina,41.616410,0.615922,178.0,205.0,,,41.6176,0.62,Santuari de Santa Teresina (church),364,2409,yes,way/107423333,snapped
379,Castellón de la Plana,Spain,Europe,Estació de Castelló,39.988289,-0.052328,45.0,72.0,,,39.9864,-0.0513,Estació de Castelló (train station),228,4724,yes,way/677424728,snapped
380,Logroño,Spain,Europe,Centro Logroño,42.461644,-2.447597,396.0,423.0,,,42.4627,-2.4449,"unnamed apartments, 13,632 m²",251,13632,,way/93644441,snapped
381,Venice,Italy,Europe,Venezia Centro,45.440541,12.313843,-1.0,26.0,,,45.4408,12.3155,"unnamed government, 2,145 m²",133,2145,yes,way/138841328,snapped
382,Palermo,Italy,Europe,Chiesa di San Giuseppe dei Teatini,38.115256,13.361456,33.0,60.0,,,38.1157,13.3615,Chiesa di San Giuseppe dei Teatini (church),50,2319,yes,way/424559529,snapped
383,Catania,Italy,Europe,Catania Centro,37.508218,15.078676,48.0,75.0,,,37.5079,15.083,"unnamed university, 3,910 m²",384,3910,yes,way/93661830,snapped
384,Bari,Italy,Europe,Bari Centrale,41.117949,16.870095,6.0,33.0,,,41.1171,16.8719,Bari Centrale (train station),178,2371,yes,way/417998837,snapped
385,Trieste,Italy,Europe,Mercato Comunale Coperto,45.649071,13.778666,18.0,45.0,,,45.6495,13.7768,Mercato Comunale Coperto (public),153,2273,yes,way/609823392,snapped
386,Parma,Italy,Europe,Teatro Regio,44.803235,10.326805,67.0,94.0,,,44.8015,10.3279,Teatro Regio (theatre),212,3374,yes,way/186277406,snapped
