n,city,country,status,building,landmark,moved_m,area_m2,old_lat,old_lon,new_lat,new_lon,osm,map
351,Koblenz,Germany,snapped,Löhr-Center (retail),yes,254,18364,50.3569,7.5889,50.358753,7.590978,https://www.openstreetmap.org/way/24887271,"https://www.google.com/maps/@50.358753,7.590978,200m/data=!3m1!1e3"
352,Trier,Germany,snapped,Europahalle (community centre),yes,188,3187,49.7499,6.6371,49.751529,6.636419,https://www.openstreetmap.org/way/72858754,"https://www.google.com/maps/@49.751529,6.636419,200m/data=!3m1!1e3"
353,Saarbrücken,Germany,snapped,Altes Stadtbad St. Johann (sports centre),yes,113,2546,49.2402,6.9969,49.239433,6.995881,https://www.openstreetmap.org/way/123435249,"https://www.google.com/maps/@49.239433,6.995881,200m/data=!3m1!1e3"
354,Osnabrück,Germany,snapped,"unnamed school, 5,071 m²",yes,231,5071,52.2799,8.0472,52.277929,8.046136,https://www.openstreetmap.org/way/90860287,"https://www.google.com/maps/@52.277929,8.046136,200m/data=!3m1!1e3"
355,Oldenburg,Germany,snapped,CCO (building),,111,5340,53.1435,8.2146,53.144313,8.213644,https://www.openstreetmap.org/way/34569971,"https://www.google.com/maps/@53.144313,8.213644,200m/data=!3m1!1e3"
356,Granada,Spain,snapped,Catedral de Granada (cathedral),yes,101,8382,37.1773,-3.5986,37.176508,-3.599145,https://www.openstreetmap.org/way/124069145,"https://www.google.com/maps/@37.176508,-3.599145,200m/data=!3m1!1e3"
357,Valladolid,Spain,snapped,Catedral de Nuestra Señora de la Asunción (cathedral),yes,100,3791,41.6523,-4.7245,41.652663,-4.723406,https://www.openstreetmap.org/way/60418554,"https://www.google.com/maps/@41.652663,-4.723406,200m/data=!3m1!1e3"
358,Vigo,Spain,snapped,Sede da Xunta de Galicia en Vigo (public),yes,63,2790,42.2406,-8.7207,42.240822,-8.719992,https://www.openstreetmap.org/way/37208124,"https://www.google.com/maps/@42.240822,-8.719992,200m/data=!3m1!1e3"
359,A Coruña,Spain,snapped,Pazo da Ópera (public),yes,106,4091,43.3623,-8.4115,43.363174,-8.410975,https://www.openstreetmap.org/way/793324130,"https://www.google.com/maps/@43.363174,-8.410975,200m/data=!3m1!1e3"
360,Gijón,Spain,snapped,C.C. Los Fresnos (retail),,83,6176,43.5322,-5.6611,43.532829,-5.661659,https://www.openstreetmap.org/way/86032465,"https://www.google.com/maps/@43.532829,-5.661659,200m/data=!3m1!1e3"
361,Oviedo,Spain,snapped,Teatro Campoamor (theatre),yes,180,1694,43.3619,-5.8494,43.363031,-5.847806,https://www.openstreetmap.org/way/11128109,"https://www.google.com/maps/@43.363031,-5.847806,200m/data=!3m1!1e3"
362,Santander,Spain,kept,Ayuntamiento de Santander (civic),yes,0,2235,43.4623,-3.8099,43.4623,-3.8099,https://www.openstreetmap.org/way/707208682,"https://www.google.com/maps/@43.4623,-3.8099,200m/data=!3m1!1e3"
363,Pamplona,Spain,snapped,Baluarte (civic),yes,202,7722,42.8125,-1.6458,42.813696,-1.647663,https://www.openstreetmap.org/way/28499232,"https://www.google.com/maps/@42.813696,-1.647663,200m/data=!3m1!1e3"
364,San Sebastián,Spain,snapped,Artzain Onaren katedrala (cathedral),yes,183,2818,43.3183,-1.9812,43.316679,-1.981546,https://www.openstreetmap.org/way/28211382,"https://www.google.com/maps/@43.316679,-1.981546,200m/data=!3m1!1e3"
365,Vitoria-Gasteiz,Spain,snapped,Maria Sortzez Garbiaren katedrala (cathedral),yes,388,5581,42.8467,-2.6727,42.845394,-2.677107,https://www.openstreetmap.org/way/23726184,"https://www.google.com/maps/@42.845394,-2.677107,200m/data=!3m1!1e3"
366,Salamanca,Spain,snapped,Mercado de San Juan (retail),yes,232,1380,40.9701,-5.6635,40.971099,-5.661083,https://www.openstreetmap.org/way/48581888,"https://www.google.com/maps/@40.971099,-5.661083,200m/data=!3m1!1e3"
367,Toledo,Spain,snapped,Nuncio Nuevo (government),yes,362,3562,39.8628,-4.0273,39.860130,-4.029719,https://www.openstreetmap.org/way/104424867,"https://www.google.com/maps/@39.860130,-4.029719,200m/data=!3m1!1e3"
368,Burgos,Spain,snapped,Iglesia de San Lesmes (church),yes,102,1592,42.3439,-3.6969,42.343155,-3.696174,https://www.openstreetmap.org/way/86163390,"https://www.google.com/maps/@42.343155,-3.696174,200m/data=!3m1!1e3"
369,León,Spain,snapped,Catedral de León (cathedral),yes,95,3569,42.5987,-5.5671,42.599479,-5.566626,https://www.openstreetmap.org/way/46344508,"https://www.google.com/maps/@42.599479,-5.566626,200m/data=!3m1!1e3"
370,Almería,Spain,snapped,Palacio de Justicia (public),yes,90,1281,36.834,-2.4637,36.834800,-2.463544,https://www.openstreetmap.org/way/108273588,"https://www.google.com/maps/@36.834800,-2.463544,200m/data=!3m1!1e3"
371,Cádiz,Spain,kept,Palacio de Justicia Audiencia Provincial de Cádiz (public),yes,0,2318,36.5271,-6.2886,36.5271,-6.2886,https://www.openstreetmap.org/way/162533714,"https://www.google.com/maps/@36.5271,-6.2886,200m/data=!3m1!1e3"
372,Jerez de la Frontera,Spain,snapped,"unnamed industrial, 52,552 m²",,171,52552,36.685,-6.1261,36.683590,-6.125352,https://www.openstreetmap.org/way/321543943,"https://www.google.com/maps/@36.683590,-6.125352,200m/data=!3m1!1e3"
373,Huelva,Spain,snapped,"unnamed building, 3,712 m²",,236,3712,37.2614,-6.9447,37.259462,-6.943609,https://www.openstreetmap.org/way/803818318,"https://www.google.com/maps/@37.259462,-6.943609,200m/data=!3m1!1e3"
374,Badajoz,Spain,snapped,Ministerio de Hacienda y Economía (public),yes,305,1746,38.8794,-6.9707,38.877237,-6.972856,https://www.openstreetmap.org/way/569414853,"https://www.google.com/maps/@38.877237,-6.972856,200m/data=!3m1!1e3"
375,Cáceres,Spain,snapped,Colegio de la Compañía de Jesús (building),yes,292,1899,39.4753,-6.3724,39.473398,-6.370065,https://www.openstreetmap.org/way/731871780,"https://www.google.com/maps/@39.473398,-6.370065,200m/data=!3m1!1e3"
376,Tarragona,Spain,snapped,Viding Sports Club (building),,228,7828,41.1189,1.2445,41.120887,1.243835,https://www.openstreetmap.org/way/556730114,"https://www.google.com/maps/@41.120887,1.243835,200m/data=!3m1!1e3"
377,Girona,Spain,snapped,Mercat municipal d'Abastaments (public),yes,121,2153,41.9794,2.8214,41.979584,2.822845,https://www.openstreetmap.org/way/583621959,"https://www.google.com/maps/@41.979584,2.822845,200m/data=!3m1!1e3"
378,Lleida,Spain,snapped,Santuari de Santa Teresina (church),yes,364,2409,41.6176,0.62,41.616410,0.615922,https://www.openstreetmap.org/way/107423333,"https://www.google.com/maps/@41.616410,0.615922,200m/data=!3m1!1e3"
