city_folder,country,latitude,longitude
koblenz,Germany,50.3569,7.5889
trier,Germany,49.7499,6.6371
saarbrucken,Germany,49.2402,6.9969
osnabruck,Germany,52.2799,8.0472
oldenburg,Germany,53.1435,8.2146
granada,Spain,37.1773,-3.5986
valladolid,Spain,41.6523,-4.7245
vigo,Spain,42.2406,-8.7207
a_coruna,Spain,43.3623,-8.4115
gijon,Spain,43.5322,-5.6611
oviedo,Spain,43.3619,-5.8494
santander,Spain,43.4623,-3.8099
pamplona,Spain,42.8125,-1.6458
san_sebastian,Spain,43.3183,-1.9812
vitoria_gasteiz,Spain,42.8467,-2.6727
salamanca,Spain,40.9701,-5.6635
toledo,Spain,39.8628,-4.0273
burgos,Spain,42.3439,-3.6969
leon,Spain,42.5987,-5.5671
almeria,Spain,36.834,-2.4637
cadiz,Spain,36.5271,-6.2886
jerez_de_la_frontera,Spain,36.685,-6.1261
huelva,Spain,37.2614,-6.9447
badajoz,Spain,38.8794,-6.9707
caceres,Spain,39.4753,-6.3724
tarragona,Spain,41.1189,1.2445
girona,Spain,41.9794,2.8214
lleida,Spain,41.6176,0.62
castellon_de_la_plana,Spain,39.9864,-0.0513
logrono,Spain,42.4627,-2.4449
venice,Italy,45.4408,12.3155
palermo,Italy,38.1157,13.3615
catania,Italy,37.5079,15.083
bari,Italy,41.1171,16.8719
trieste,Italy,45.6495,13.7768
parma,Italy,44.8015,10.3279
modena,Italy,44.6471,10.9252
reggio_emilia,Italy,44.6989,10.6297
perugia,Italy,43.1107,12.3908
ravenna,Italy,44.4184,12.2035
rimini,Italy,44.0678,12.5695
ferrara,Italy,44.8381,11.6198
livorno,Italy,43.5485,10.3106
pisa,Italy,43.7228,10.4017
lucca,Italy,43.8429,10.5027
siena,Italy,43.3188,11.3308
arezzo,Italy,43.4633,11.8796
bergamo,Italy,45.6983,9.6773
brescia,Italy,45.5416,10.2118
monza,Italy,45.5845,9.2744
como,Italy,45.8081,9.0852
trento,Italy,46.0748,11.1217
bolzano,Italy,46.4983,11.3548
vicenza,Italy,45.5455,11.5354
lecce,Italy,40.3515,18.175
groningen,Netherlands,53.2194,6.5665
maastricht,Netherlands,50.8514,5.691
tilburg,Netherlands,51.5555,5.0913
breda,Netherlands,51.5719,4.7683
nijmegen,Netherlands,51.8126,5.8372
arnhem,Netherlands,51.9851,5.8987
haarlem,Netherlands,52.3874,4.6462
leiden,Netherlands,52.1601,4.497
delft,Netherlands,52.0116,4.3571
enschede,Netherlands,52.2215,6.8937
amersfoort,Netherlands,52.1561,5.3878
zwolle,Netherlands,52.5168,6.083
alkmaar,Netherlands,52.6324,4.7534
leeuwarden,Netherlands,53.2012,5.7999
s_hertogenbosch,Netherlands,51.6978,5.3037
bruges,Belgium,51.2093,3.2247
leuven,Belgium,50.8798,4.7005
liege,Belgium,50.6326,5.5797
charleroi,Belgium,50.4108,4.4446
namur,Belgium,50.4674,4.8718
mechelen,Belgium,51.0259,4.4776
